Time     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:34:01     all   22.22    0.00   42.42    0.00    0.00    0.00    0.00    0.00    0.00   35.35
12:34:02     all   33.33    0.00   66.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:03     all   36.36    0.00   63.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:04     all   19.39    0.00   40.82    0.00    0.00    0.00    0.00    0.00    0.00   39.80
12:34:05     all   16.16    0.00   26.26    3.03    0.00    0.00    0.00    0.00    0.00   54.55
12:34:06     all   33.33    0.00   66.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:07     all   36.73    0.00   63.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:08     all   30.00    0.00   52.00    0.00    0.00    0.00    0.00    0.00    0.00   18.00
12:34:09     all    8.08    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   79.80
12:34:10     all   31.63    0.00   68.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:11     all   35.35    0.00   64.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:12     all   37.76    0.00   62.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:13     all    3.96    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   92.08
12:34:14     all   31.31    0.00   62.63    0.00    0.00    1.01    0.00    0.00    0.00    5.05
12:34:15     all   33.33    0.00   66.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:34:16     all   34.69    0.00   65.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:     all   29.64    0.00   46.02    0.22    0.00    0.05    0.00    0.00    0.00   24.07
